Date (Months),Monthly Rainfall Total (mm)
2010-02,43.8
2010-03,243
2010-04,316.6
2010-05,274.6
2010-06,325
2010-07,515.6
2010-08,202.2
2010-09,279.8
2010-10,194.2
2010-11,222.2
2010-12,143.4
2011-01,415.8
2011-02,162
2011-03,184.6
2011-04,278.8
2011-05,198.8
2011-06,291.8
2011-07,94.2
2011-08,247.4
2011-09,204.8
2011-10,537
2011-11,429.4
2011-12,378.6
2012-01,173.2
2012-02,124.8
2012-03,257.8
2012-04,352.2
2012-05,298.6
2012-06,110.6
2012-07,209
2012-08,188
2012-09,77.8
2012-10,289
2012-11,397.6
2012-12,373
2013-01,150
2013-02,422.6
2013-03,319.6
2013-04,189.8
2013-05,117.2
2013-06,150.2
2013-07,136.4
2013-08,159.8
2013-09,410.4
2013-10,204.6
2013-11,274.6
2013-12,261.4
2014-01,50
2014-02,20.6
2014-03,73.2
2014-04,175
2014-05,224.8
2014-06,177
2014-07,242.8
2014-08,258
2014-09,107.6
2014-10,149.2
2014-11,375
2014-12,402.6
2015-01,106.2
2015-02,52.6
2015-03,87.8
2015-04,283.6
2015-05,154.8
2015-06,69.6
2015-07,51.4
2015-08,127.8
2015-09,95.2
2015-10,127.8
2015-11,320.2
2015-12,336.2
2016-01,234.8
2016-02,170.8
2016-03,76
2016-04,203.8
2016-05,164.8
2016-06,206.8
2016-07,275.6
2016-08,97.4
2016-09,182
2016-10,186
2016-11,394
2016-12,205
2017-01,177.6
2017-02,129
2017-03,197.6
2017-04,398.6
2017-05,230.8
2017-06,95.8
2017-07,155
2017-08,117.8
2017-09,155.2
2017-10,244
2017-11,319.6
2017-12,217.6
2018-01,267.8
2018-02,32.8
2018-03,148.5
2018-04,301.4
2018-05,235.8
2018-06,567.2
2018-07,143.6
2018-08,111.4
2018-09,253.6
2018-10,196.2
2018-11,368.8
2018-12,356
2019-01,108.2
2019-02,41.2
2019-03,116.2
2019-04,228.5
2019-05,211.8
2019-06,227
2019-07,71.2
2019-08,27.8
2019-09,114.4
2019-10,131.2
2019-11,213.4
2019-12,248
2020-01,121.8
2020-02,91
2020-03,138.8
2020-04,289.2
2020-05,241.2
2020-06,293.4
2020-07,140.6
2020-08,116.8
2020-09,398
2020-10,196.1
2020-11,233.2
2020-12,186.6
2021-01,394.2
2021-02,24.4
2021-03,332
2021-04,192.8
2021-05,277.4
2021-06,224.8
2021-07,269.4
2021-08,454.8
2021-09,267.6
2021-10,146.4
2021-11,259
2021-12,270.6
2022-01,171.3
2022-02,234.2
2022-03,239.4
2022-04,262.8
2022-05,222.4
2022-06,225.6
2022-07,109
2022-08,332.8
2022-09,330.4
2022-10,456.2
2022-11,330.4
2022-12,231.2
2023-01,242.2
2023-02,387.6
2023-03,343.2
2023-04,230
2023-05,141.4
2023-06,279
