Date (Months),Monthly Rainfall Total (mm),Mean Wind Speed (km/h),Max Wind Speed (km/h),MeanTemperature (°C),MaximumTemperature (°C),MinimumTemperature (°C)
1989-01,189.7,12.59354839,42.5,26.50322581,30.9483871,23.8516129
1989-02,52.4,12.63928571,43.00357143,26.64642857,31.775,23.69285714
1989-03,305.9,6.619354839,40.13225806,26.33870968,31.01290323,23.86774194
1989-04,204.7,4.926666667,39.13,27.03666667,31.8,24.04
1989-05,194,4.567741935,37.50645161,27.25806452,31.48387097,24.46451613
1989-06,117.6,5.176666667,35.98666667,27.47,31.73333333,24.42333333
1989-07,157.6,7.729032258,38.8483871,27.73225806,31.57741935,24.95806452
1989-08,201,7.635483871,42.58387097,27.15483871,30.99032258,23.92258065
1989-09,247.3,7.436666667,37.09333333,26.93666667,30.83666667,24.11
1989-10,111,6.567741935,39.42903226,27.07096774,31.27096774,24.17741935
1989-11,508.4,7.53,42.54666667,26.66666667,30.99333333,24.04333333
1989-12,179.7,9.377419355,41.47741935,26.29032258,30.20645161,23.89677419
1990-01,147.4,9.280645161,37.28064516,26.18064516,30.3,23.66129032
1990-02,24.1,12.65,40.16428571,27.6,32.38571429,24.92142857
1990-03,94.2,9.977419355,39.32903226,28.23870968,33.31935484,25.04516129
1990-04,52.4,6.676666667,37.12333333,28.52,33.36333333,25.28333333
1990-05,180.1,4.95483871,31.22258065,28.56774194,32.84516129,25.61612903
1990-06,112.6,6.99,39.19,28.35666667,32.36666667,25.43333333
1990-07,124,5.919354839,36.96451613,27.47741935,31.41290323,24.61290323
1990-08,146.6,6.729032258,35.67419355,27.97419355,31.39354839,25.1516129
1990-09,204.5,6.406666667,37.30666667,27.24666667,31.30666667,24.21333333
1990-10,56.4,4.477419355,33.78064516,27.47096774,31.83870968,24.93870968
1990-11,180.4,5.386666667,32.35,27.20333333,31.31,24.65
1990-12,201.1,8.758064516,38.19354839,26.31290323,30.20967742,24.11290323
1991-01,123.9,8.783870968,38.23870968,26.70645161,30.90645161,24.18064516
1991-02,45.5,9.857142857,39.93928571,27.10714286,31.825,24.11071429
1991-03,92.4,9.112903226,36.10967742,27.81290323,32.39032258,24.66129032
1991-04,134.2,4.516666667,34.29666667,27.74,32.31,24.71666667
1991-05,256.4,5.035483871,32.81612903,27.70645161,31.48387097,25.02903226
1991-06,88.7,8.703333333,32.12666667,28.61333333,32.24,25.84666667
1991-07,37.3,11.62258065,36.99354839,28.48709677,32.09032258,25.71935484
1991-08,226.2,11.37741935,37.11935484,28.16451613,32.19032258,25.28709677
1991-09,123.1,7.276666667,35.69666667,27.55,31.35333333,24.70333333
1991-10,52,5.206451613,30.62903226,27.53225806,31.78387097,24.66451613
1991-11,205,5.52,35.84,26.27,30.62666667,23.60333333
1991-12,492.3,8.129032258,39.21290323,25.62258065,29.05806452,23.43870968
1992-01,83.9,11.38709677,40.66451613,26.62258065,30.73225806,23.76451613
1992-02,62.4,9.768965517,37.91034483,27.46551724,32.15517241,24.29655172
1992-03,67.6,9.196774194,39.20645161,28.19032258,33.0483871,25.01290323
1992-04,160.3,5.723333333,35.43666667,28.39666667,32.92666667,25.06
1992-05,63.1,5.009677419,34.16129032,28.13870968,32.55806452,25.09032258
1992-06,162.8,6.936666667,39.87333333,28.02666667,32.00333333,24.91333333
1992-07,290.8,7.358064516,37.63548387,27.31935484,30.92903226,24.23225806
1992-08,76.1,8.377419355,38.20645161,27.76129032,31.36451613,24.33225806
1992-09,83.6,5.716666667,36.28333333,27.34333333,31.54666667,24.52333333
1992-10,233.2,5.616129032,38.64516129,27.44193548,31.36451613,24.3483871
1992-11,474.3,5.766666667,36.29,26.09,30.01,23.66
1992-12,502.7,6.380645161,37.92258065,25.52580645,29.2,23.39677419
1993-01,176.4,9.883870968,40.08064516,26.20645161,29.90967742,23.83225806
1993-02,69.2,11.08928571,38.36785714,26.71428571,31.44285714,23.79285714
